food_id,food_name_en,ingredients_en,,description_en,,main_category_en,calorie_category,rating_avg,calories_per_100g,fats_per_100g,protein_per_100g,carbs_per_100g
96,Erk Sous (Licorice Drink),"Licorice root, water, baking soda",,"A foamy, dark, and slightly bitter drink, popular with street vendors.",,Juices & Cold Drinks,Low,4.4,38,0,0.2,9.4
97,Hot Chocolate,"Milk, cocoa powder, sugar, cream (optional)",,"A popular international hot drink, widely consumed in winter in Egypt.",,Hot Drinks,High,4.6,77,2.3,3.2,10.7
98,Ginger Drink,"Fresh ginger, hot water, lemon, honey",,"A warming and medicinal hot drink, often taken in cold weather.",,Hot Drinks,Low,4.3,5,0,0.1,1.2
99,Anise Drink (Yansoun),"Anise seeds, hot water, sugar",,"A soothing herbal drink, commonly used for relaxation or digestion.",,Hot Drinks,Low,4.2,3,0,0.1,0.7
100,Black Tea (Sada),"Black tea, hot water",,"The simplest form of the daily Egyptian tea, without milk or sugar.",,Hot Drinks,Low,4.1,1,0,0,0.3
101,Milk with Honey,"Milk, honey",,"A simple, nutritious, and warming drink, popular for breakfast.",,Hot Drinks,Low,4.5,90,2.5,3.5,14
102,Hot Nescafe,"Instant coffee, hot water, sugar, milk (optional)",,"The modern Egyptian coffee fix, often served with a lot of foam.",,Hot Drinks,Low,4.4,18,0.4,0.6,3.2
103,Apple Juice,"Apple fruit, water, sugar (optional)",,A common and healthy fresh juice available in most juice shops.,,Juices & Cold Drinks,Low,4.3,46,0.1,0.1,11.3
104,Orange Juice,"Orange fruit, ice (optional)",,"The universally loved citrus juice, a breakfast staple.",,Juices & Cold Drinks,Low,4.8,45,0.1,0.7,10.4
105,Watermelon Juice,"Watermelon chunks, ice (optional)",,A highly hydrating and refreshing summer juice.,,Juices & Cold Drinks,Low,4.7,49,0.1,0.4,12.1
106,Strawberry Juice,"Strawberries, water, sugar, ice",,"A bright, sweet, and popular seasonal juice.",,Juices & Cold Drinks,Medium,4.6,33,0.2,0.7,7.7
107,Lemonade,"Lemon juice, water, sugar, ice",,The simple and classic refreshing cold drink.,,Juices & Cold Drinks,Low,4.5,22,0.1,0.3,6.9
108,Avocado Smoothie,"Avocado, milk, honey, nuts",,"A thick, rich, and healthy smoothie, gaining popularity.",,Smoothies & Shakes,High,4.8,160,14.7,2,8.5
109,Date MilkSmoothie,"Dates, milk, honey (optional)",,"A sweet and energy-boosting drink, often consumed before a workout.",,Smoothies & Shakes,High,4.7,94,1.2,2.8,18.4
110,Fig Juice,"Fresh figs, milk, sugar",,"A seasonal, rich, and sweet juice, less common than others.",,Smoothies & Shakes,Medium,4.4,94,1.2,2.8,18.4
111,Pomegranate Juice,"Pomegranate seeds, water, sugar (optional)",,"A tart and healthy juice, gaining more popularity recently.",,Juices & Cold Drinks,Medium,4.6,54,0.3,0.4,13.1
112,Clove Tea,"Black tea, water, sugar, cloves",,"A spiced hot tea, known for its strong aroma and warming effect.",,Hot Drinks,Low,4.3,1,0,0,0.3
113,Milk with Sahlab and Ginger,"Milk, sahlab powder, ginger, sugar",,"A highly warming winter drink, mixing sahlab's creaminess with ginger's spice.",,Hot Drinks,High,4.8,98,3.2,3.1,14.7
114,Instant Coffee (Mocha/Latte),"Instant coffee, milk, chocolate/flavor syrup, sugar",,"Modern, cafe-style coffee drinks, widely popular in cities.",,Hot Drinks,Medium,4.5,38,1.5,1.9,4.7
115,Apple and Cinnamon Hot Drink,"Hot water, apple pieces, cinnamon sticks, honey",,"A sweet, fruity, and aromatic warm drink, great for relaxation.",,Hot Drinks,Low,4.4,12,0.3,0.2,2.8
116,Chamomile Tea,"Chamomile flowers, hot water, honey (optional)",,"A soothing and calming herbal infusion, often taken before sleep.",,Hot Drinks,Low,4.2,1,0,0,0.3
117,Prickly Pear Juice,"Prickly pear fruit, water, sugar",,"A seasonal, sweet, and mild-flavored juice.",,Juices & Cold Drinks,Medium,4.5,49,0.1,0.4,12.1
118,Dates and Figs Drink,"Dates, figs, milk, sugar",,"A thick, sweet, and energy-dense beverage.",,Smoothies & Shakes,High,4.7,94,1.2,2.8,18.4
119,Lemon with Honey Hot Drink,"Lemon juice, hot water, honey",,A comforting and popular remedy for sore throats and colds.,,Hot Drinks,Low,4.4,18,0.4,0.6,3.2
120,Cinnamon Drink,"Cinnamon sticks/powder, hot water, sugar",,"A warming and fragrant hot drink, great for circulation.",,Hot Drinks,Low,4.3,12,0.3,0.2,2.8
121,Mint Drink (Dried Mint),"Dried mint leaves, hot water, sugar",,"A simple, digestive, and refreshing hot herbal drink.",,Hot Drinks,Low,4.2,18,0.4,0.6,3.2
122,Hot Milk,Milk,,"Plain hot milk, often consumed by children or before sleep.",,Hot Drinks,Medium,4.3,18,0.4,0.6,3.2
123,Coffee with Milk (French Coffee),"Coffee, milk, water, sugar",,"A creamy, lighter version of Turkish coffee, often called 'French'.",,Hot Drinks,Medium,4.6,38,1.5,1.9,4.7
124,Grape Juice,"Grapes, water, sugar (optional)",,"A sweet and nutritious juice, widely consumed during the summer.",,Juices & Cold Drinks,Medium,4.5,49,0.1,0.4,12.1
125,Kiwi Juice,"Kiwi fruit, water, sugar",,"A slightly tart, green, and refreshing juice, gaining popularity.",,Juices & Cold Drinks,Medium,4.6,49,0.1,0.4,12.1
126,Pineapple Juice,"Pineapple, water, sugar",,"A tropical, sweet-tart juice, often used in cocktails.",,Juices & Cold Drinks,Medium,4.4,46,0.1,0.1,11.3
127,Mixed Fruit Smoothie,"Mixed fruits (e.g., banana, mango, strawberry), milk, honey",,"A nutrient-dense, thick, and customizable blend.",,Smoothies & Shakes,High,4.8,89,0.3,1.1,22.8
128,Fig and Honey Hot Drink,"Dried figs, hot water, honey",,A traditional remedy for coughs and throat soothing.,,Hot Drinks,Medium,4.3,18,0.4,0.6,3.2
129,Ginger with Cinnamon,"Ginger, cinnamon, hot water, honey",,"A potent, warming, and immune-boosting winter drink.",,Hot Drinks,Low,4.5,12,0.3,0.2,2.8
130,Green Tea,"Green tea leaves/bag, hot water",,"A healthy, non-fermented tea, popular for weight loss and health benefits.",,Hot Drinks,Low,4.4,1,0,0,0.3
131,Espresso,"Finely ground coffee, hot water (pressurized)",,"A concentrated coffee shot, popular in modern cafes.",,Hot Drinks,Low,4.3,18,0.4,0.6,3.2
132,Turkish Coffee with Cardamom,"Coffee, water, sugar, cardamom",,"A spiced version of Turkish coffee, common in some regions.",,Hot Drinks,Low,4.5,1,0,0.1,0
133,Beetroot Juice,"Beetroot, orange/apple, water",,"A vibrant, earthy, and highly nutritious juice blend.",,Juices & Cold Drinks,Medium,4.6,49,0.1,0.4,12.1
134,Celery Juice,"Celery stalks, water, lemon",,"A very low-calorie, healthy, and somewhat modern juice trend.",,Juices & Cold Drinks,Low,4.1,49,0.1,0.4,12.1
135,Carrot Juice,"Carrots, water, orange (optional)",,"A sweet and vitamin-rich juice, often mixed with other fruits.",,Juices & Cold Drinks,Medium,4.5,40,0.2,0.9,9.3
136,Espresso Macchiato,"Espresso, dash of steamed milk",,"A strong coffee with a small amount of milk foam, popular in cafes.",,Hot Drinks,Low,4.4,35,1.5,1.5,4.5
137,Chocolate MilkSmoothie,"Milk, chocolate ice cream, chocolate syrup",,"A rich, cold, and indulgent dessert drink.",,Smoothies & Shakes,High,4.7,94,1.2,2.8,18.4
138,Vanilla MilkSmoothie,"Milk, vanilla ice cream, vanilla extract",,"A simple, creamy, and cooling sweet drink.",,Smoothies & Shakes,High,4.6,94,1.2,2.8,18.4
139,Strawberry and Banana Smoothie,"Strawberries, banana, milk, ice",,"A classic, thick, and very popular smoothie combination.",,Smoothies & Shakes,High,4.9,89,0.3,1.1,22.8
140,Iced Lemonade,"Lemon juice, water, sugar, crushed ice",,A super cold and essential summer refresher.,,Juices & Cold Drinks,Low,4.6,22,0.1,0.3,6.9
142,Peanut Butter-Date Power Up,"Dates, peanut butter, whole milk, ice",,"High-calorie, energy-dense Egyptian-friendly shake, great for pre-workout.",,Smoothies & Shakes,High,4.9,280,14,9,33
145,Simple Apple-Peanut Butter Smoothie,"Apple (sliced), peanut butter, water or low-fat milk, cinnamon",,"A simpler, lower-fat option that's great for sustained energy throughout the day.",,Smoothies & Shakes,Medium,4.6,220,10,6,30
146,Strawberry-PB Energy Blend,"Frozen strawberries, peanut butter, milk, oats (optional)",,A tasty shake combining sweet berries with high-calorie peanut butter for quick fuel.,,Smoothies & Shakes,Medium,4.8,210,9.5,6,28
150,Simple Peanut Butter Power Smoothie,"Peanut butter (extra spoon), banana, milk (extra), honey",,"Maximum calories from the easiest ingredients: focusing on fat, carbs, and protein.",,Smoothies & Shakes,High,5,330,18,12,32
151,Spinach Casserole with Meat,"Spinach, minced meat, onion, tomato",,A hearty casserole made with spinach and minced meat,,Meat,Medium,4.6,250,15,26,0
152,Creamy Zucchini Soup,"Zucchini, cream, onion, broth",,Smooth creamy zucchini soup,,Soup,Low,4.5,54,1.7,3.2,7.4
153,Chicken Crepe,"Crepe, chicken, cheese, pepper",,Savory crepe stuffed with chicken and cheese,,Poultry,Medium,4.7,210,8.5,16,18
154,Curry Potatoes,"Potatoes, curry, onion, garlic",,Spicy Indian-style curry potatoes,,Vegetarian,Medium,4.4,145,5,3,22
156,Fried Garlic Shrimp,"Shrimp, garlic, oil, lemon",,Fried shrimp with garlic and lemon,,Seafood,Medium,4.8,228,14.2,16.8,9.7
157,Chicken Mushroom Pizza,"Dough, chicken, mushroom, cheese",,Pizza topped with chicken and mushrooms,,Pastry,High,4.6,276,13.8,11.2,27.9
159,Chickpea Fattah,"Chickpeas, toasted bread, yogurt, tahini",,Vegetarian fattah with chickpeas and yogurt,,Vegetarian,Medium,4.6,166,9.6,7.9,14.3
160,Turkish Chicken Kebab,"Chicken, spices, yogurt, lemon",,Turkish-style marinated chicken kebab,,Poultry,High,4.8,165,3.6,31,0
161,Arabic Beef Shawarma,"Beef, spices, onion, tahini",,Arabic-style marinated beef shawarma,,Meat,High,4.7,215,11.2,21.8,9.4
162,Egyptian Lentil Soup,"Lentils, onion, carrot, cumin",,Warm and healthy lentil soup,,Soup,Low,4.9,93,0.8,7.5,15.3
163,Fresh Fruit Salad,"Apple, banana, grapes, orange",,Refreshing vitamin-rich fruit salad,,Dessert,Low,4.8,65,0.3,1,16
164,Grilled Lemon Fish,"Fish, lemon, olive oil, spices",,Healthy grilled fish with lemon,,Seafood,Medium,4.9,124,2.7,23,0
165,Herb Grilled Chicken,"Chicken, herbs, olive oil, garlic",,Grilled chicken with aromatic herbs,,Poultry,Medium,4.7,165,3.6,31,0
166,Chicken Caesar Salad,"Lettuce, chicken, cheese, Caesar dressing",,Classic chicken Caesar salad,,Salad,Medium,4.8,87,5.2,5.9,4.8
168,Baked Potatoes,"Potato, oil, pepper, salt",,Crispy and healthy baked potatoes,,Vegetarian,Medium,4.4,105,2,2.5,20
169,Salmon Sushi,"Rice, salmon, rice vinegar, seaweed",,Fresh salmon sushi,,Seafood,Medium,4.9,143,1.4,6.1,24.1
170,Veggie Omelette,"Egg, pepper, onion, spinach",,Egg omelette with mixed vegetables,,Vegetarian,Medium,4.7,140,9.5,9,4.5
171,Lebanese Falafel,"Chickpeas, onion, parsley, spices",,Crispy Lebanese falafel,,Vegetarian,Medium,4.9,333,17.8,13.3,31.8
172,Beef Burger,"Beef, bread, lettuce, cheese",,Classic beef burger,,Meat,High,4.8,295,17.5,20,18
176,Crispy Fried Fish,"Fish, flour, oil, spices",,Crispy fried fish with spices,,Seafood,High,4.7,205,10.5,22,7.5
177,Chicken Noodle Soup,"Chicken, noodles, onion, broth",,Delicious and nutritious chicken noodle soup,,Soup,Medium,4.8,38,1.2,4.5,2.9
179,Salami Pizza,"Dough, salami, sauce, cheese",,Italian-style salami pizza,,Pastry,High,4.6,276,13.8,11.2,27.9
180,Creamy Mushroom Soup,"Mushroom, cream, onion, butter",,Rich and creamy mushroom soup,,Soup,Medium,4.7,73,4.8,1.9,6.3
182,Beef Lasagna,"Lasagna pasta, minced beef, cheese, tomato sauce",,Rich cheesy beef lasagna,,Pasta,High,4.9,124,2.9,4.2,20.8
183,Creamy Broccoli Soup,"Broccoli, cream, onion, broth",,Nutritious broccoli cream soup,,Soup,Medium,4.7,54,1.7,3.2,7.4
185,Chicken Shawarma,"Chicken, spices, garlic, yogurt",,Tasty Middle Eastern chicken shawarma,,Poultry,Medium,4.7,215,11.2,21.8,9.4
186,Chocolate Cake,"Flour, cocoa, eggs, sugar",,Soft and delicious chocolate cake,,Dessert,High,4.9,337,13.2,4.8,52.1
187,Fresh Orange Juice,"Orange, sugar, water",,Fresh orange juice rich in vitamin C,,Beverages,Low,4.8,45,0.1,0.7,10.4
189,Shrimp Cream Pasta,"Pasta, shrimp, cream, garlic",,Creamy shrimp pasta,,Pasta,High,4.8,167,7.3,6.2,19.7
190,Vegetable Soup,"Mixed vegetables, broth, onion, pepper",,Healthy and light vegetable soup,,Soup,Low,4.5,39,0.6,1.4,7.9
191,Butter Chicken,"Chicken, butter, cream, tomato sauce",,Indian-style butter chicken,,Poultry,Medium,4.9,245,16,24,3
192,Honey Fruit Salad,"Seasonal fruits, honey, mint",,Fruit salad with honey and mint,,Dessert,Low,4.7,95,0.4,1,23
193,Shrimp Sushi,"Rice, shrimp, seaweed, rice vinegar",,Fresh shrimp sushi,,Seafood,Medium,4.8,143,1.4,6.1,24.1
195,Nutella Banana Crepe,"Crepe, nutella, banana",,Sweet nutella banana crepe,,Dessert,High,4.8,340,16,7,45
196,Crispy Fried Chicken,"Chicken, flour, spices, oil",,Crispy fried chicken,,Poultry,High,4.9,246,12.1,30.6,2.8
197,Fresh Mango Juice,"Mango, sugar, water",,Fresh and refreshing mango juice,,Beverages,Low,4.8,60,0.2,0.4,14.8
198,Seafood Soup,"Shrimp, fish, crab, broth",,Rich seafood soup,,Soup,Medium,4.9,73,2.1,9.4,5.8
199,Grilled Beef Steak,"Beef, oil, pepper, salt",,Tender grilled beef steak,,Meat,Medium,4.9,220,11,28,0
200,Mashed Potatoes,"Potatoes, butter, milk, salt",,Smooth mashed potatoes,,Vegetarian,Medium,4.6,115,4.5,2.5,16.5
201,Fresh Apple Juice,"Apple, water, sugar",,Fresh and natural apple juice,,Beverages,Low,4.5,46,0.1,0.1,11.3
